;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
518235;2018-09-03;HA;HA;HA;348;HA;N485HA;348;12173;HNL;Honolulu, HI;12758;KOA;Kona, HI;1725;1718.0;-7.0;13.0;1731.0;1800.0;5.0;1811;1805.0;-6.0;0;;0;N;46;47.0;29.0;1;163;;;;;;;;;
95422;2018-10-18;F9;F9;F9;490;F9;N227FR;490;11292;DEN;Denver, CO;11637;FAR;Fargo, ND;1555;1557.0;2.0;14.0;1611.0;1827.0;9.0;1846;1836.0;-10.0;0;;0;N;111;99.0;76.0;1;627;;;;;;;;;
74963;2018-08-19;F9;F9;F9;1145;F9;N326FR;1145;14683;SAT;San Antonio, TX;12889;LAS;Las Vegas, NV;1620;1633.0;13.0;16.0;1649.0;1719.0;6.0;1715;1725.0;10.0;0;;0;N;175;172.0;150.0;1;1069;;;;;;;;;
658914;2018-03-31;VX;VX;VX;1907;VX;N924VA;1907;12889;LAS;Las Vegas, NV;14771;SFO;San Francisco, CA;1554;1548.0;-6.0;14.0;1602.0;1710.0;3.0;1726;1713.0;-13.0;0;;0;N;92;85.0;68.0;1;414;;;;;;;;;
61382;2018-07-11;F9;F9;F9;370;F9;N220FR;370;13891;ONT;Ontario, CA;11292;DEN;Denver, CO;1926;1959.0;33.0;12.0;2011.0;2305.0;13.0;2243;2318.0;35.0;0;;0;N;137;139.0;114.0;1;819;10.0;0.0;2.0;0.0;23.0;;;;
395815;2019-06-06;G4;G4;G4;101;G4;317NV;101;12889;LAS;Las Vegas, NV;11980;GRI;Grand Island, NE;615;601.0;-14.0;23.0;624.0;1030.0;5.0;1037;1035.0;-2.0;0;;0;N;142;154.0;126.0;1;971;;;;;;;;;
637406;2019-12-16;HA;HA;HA;557;HA;N492HA;557;12758;KOA;Kona, HI;12173;HNL;Honolulu, HI;2100;2044.0;-16.0;6.0;2050.0;2116.0;10.0;2144;2126.0;-18.0;0;;0;N;44;42.0;26.0;1;163;;;;;;;;;
251383;2019-12-22;F9;F9;F9;664;F9;N338FR;664;14771;SFO;San Francisco, CA;11292;DEN;Denver, CO;1037;1105.0;28.0;36.0;1141.0;1435.0;7.0;1418;1442.0;24.0;0;;0;N;161;157.0;114.0;1;967;0.0;0.0;24.0;0.0;0.0;;;;
456340;2019-12-30;G4;G4;G4;2413;G4;273NV;2413;12889;LAS;Las Vegas, NV;11986;GRR;Grand Rapids, MI;1550;1709.0;79.0;13.0;1722.0;2333.0;4.0;2223;2337.0;74.0;0;;0;N;213;208.0;191.0;1;1642;4.0;0.0;0.0;0.0;70.0;;;;
518711;2018-09-05;HA;HA;HA;306;HA;N492HA;306;12173;HNL;Honolulu, HI;13830;OGG;Kahului, HI;716;708.0;-8.0;19.0;727.0;750.0;7.0;755;757.0;2.0;0;;0;N;39;49.0;23.0;1;100;;;;;;;;;
83859;2018-09-14;F9;F9;F9;543;F9;N230FR;543;11278;DCA;Washington, DC;11292;DEN;Denver, CO;700;647.0;-13.0;14.0;701.0;811.0;45.0;859;856.0;-3.0;0;;0;N;239;249.0;190.0;1;1476;;;;;;;;;
90943;2018-10-05;F9;F9;F9;244;F9;N948FR;244;11292;DEN;Denver, CO;12266;IAH;Houston, TX;2042;2043.0;1.0;16.0;2059.0;2353.0;7.0;9;2400.0;-9.0;0;;0;N;147;137.0;114.0;1;862;;;;;;;;;
424613;2019-08-26;G4;G4;G4;2301;G4;301NV;2301;14761;SFB;Sanford, FL;10135;ABE;Allentown/Bethlehem/Easton, PA;1315;1310.0;-5.0;10.0;1320.0;1517.0;7.0;1539;1524.0;-15.0;0;;0;N;144;134.0;117.0;1;882;;;;;;;;;
443619;2019-11-17;G4;G4;G4;596;G4;304NV;596;10466;AZA;Phoenix, AZ;14783;SGF;Springfield, MO;730;743.0;13.0;13.0;756.0;1114.0;6.0;1057;1120.0;23.0;0;;0;N;147;157.0;138.0;1;1066;13.0;0.0;10.0;0.0;0.0;;;;
614775;2019-09-18;HA;HA_CODESHARE;HA;648;EM;N806HC;648;12173;HNL;Honolulu, HI;12492;JHM;Kapalua, HI;1221;1218.0;-3.0;12.0;1230.0;1248.0;16.0;1259;1304.0;5.0;0;;0;N;38;46.0;18.0;1;84;;;;;;;;;
241437;2019-11-26;F9;F9;F9;490;F9;N943FR;490;11292;DEN;Denver, CO;11637;FAR;Fargo, ND;1513;1520.0;7.0;29.0;1549.0;1814.0;8.0;1815;1822.0;7.0;0;;0;N;122;122.0;85.0;1;627;;;;;;;;;
397822;2019-06-11;G4;G4;G4;531;G4;259NV;531;11775;FSD;Sioux Falls, SD;10466;AZA;Phoenix, AZ;1120;1111.0;-9.0;11.0;1122.0;1139.0;4.0;1201;1143.0;-18.0;0;;0;N;161;152.0;137.0;1;1072;;;;;;;;;
225850;2019-10-19;F9;F9;F9;227;F9;N349FR;227;10821;BWI;Baltimore, MD;11292;DEN;Denver, CO;1127;1133.0;6.0;30.0;1203.0;1341.0;8.0;1325;1349.0;24.0;0;;0;N;238;256.0;218.0;1;1491;0.0;0.0;24.0;0.0;0.0;;;;
582888;2019-05-19;HA;HA_CODESHARE;HA;684;EM;N806HC;684;12173;HNL;Honolulu, HI;13034;LNY;Lanai, HI;1846;1851.0;5.0;10.0;1901.0;1920.0;3.0;1920;1923.0;3.0;0;;0;N;34;32.0;19.0;1;72;;;;;;;;;
498249;2018-06-20;HA;HA;HA;114;HA;N483HA;114;12982;LIH;Lihue, HI;12173;HNL;Honolulu, HI;717;711.0;-6.0;6.0;717.0;741.0;7.0;752;748.0;-4.0;0;;0;N;35;37.0;24.0;1;102;;;;;;;;;
336479;2018-11-01;G4;G4;G4;1703;G4;231NV;1703;12945;LEX;Lexington, KY;11697;FLL;Fort Lauderdale, FL;910;904.0;-6.0;11.0;915.0;1112.0;7.0;1128;1119.0;-9.0;0;;0;N;138;135.0;117.0;1;865;;;;;;;;;
188547;2019-07-19;F9;F9;F9;1211;F9;N710FR;1211;13204;MCO;Orlando, FL;15016;STL;St. Louis, MO;2128;2126.0;-2.0;12.0;2138.0;2233.0;11.0;2300;2244.0;-16.0;0;;0;N;152;138.0;115.0;1;882;;;;;;;;;
597354;2019-07-13;HA;HA;HA;198;HA;N493HA;198;12173;HNL;Honolulu, HI;12758;KOA;Kona, HI;902;901.0;-1.0;17.0;918.0;948.0;5.0;950;953.0;3.0;0;;0;N;48;52.0;30.0;1;163;;;;;;;;;
258961;2018-01-15;G4;G4;G4;728;G4;881GA;728;14761;SFB;Sanford, FL;12992;LIT;Little Rock, AR;726;733.0;7.0;13.0;746.0;850.0;9.0;859;859.0;0.0;0;;0;N;153;146.0;124.0;1;765;;;;;;;;;
457246;2018-01-02;HA;HA;HA;50;HA;N382HA;50;12173;HNL;Honolulu, HI;12478;JFK;New York, NY;1630;1735.0;65.0;14.0;1749.0;746.0;6.0;655;752.0;57.0;0;;0;N;565;557.0;537.0;1;4983;57.0;0.0;0.0;0.0;0.0;;;;
16624;2018-02-23;F9;F9;F9;1697;F9;N317FR;1697;11066;CMH;Columbus, OH;13204;MCO;Orlando, FL;1605;1600.0;-5.0;10.0;1610.0;1755.0;13.0;1831;1808.0;-23.0;0;;0;N;146;128.0;105.0;1;802;;;;;;;;;
482194;2018-04-18;HA;HA;HA;262;HA;N479HA;262;12173;HNL;Honolulu, HI;12402;ITO;Hilo, HI;708;701.0;-7.0;14.0;715.0;751.0;4.0;802;755.0;-7.0;0;;0;N;54;54.0;36.0;1;216;;;;;;;;;
