;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
515188;2019-04-01;AS;AS_CODESHARE;AS;3384;OO;N186SY;3384;14057;PDX;Portland, OR;13487;MSP;Minneapolis, MN;755;805.0;10.0;10.0;815.0;1307.0;7.0;1320;1314.0;-6.0;0;;0;N;205;189.0;172.0;1;1426;;;;;;;;;
310543;2018-10-05;AS;AS_CODESHARE;AS;2285;QX;N624QX;2285;11648;FCA;Kalispell, MT;14747;SEA;Seattle, WA;1935;1934.0;-1.0;10.0;1944.0;1946.0;7.0;2006;1953.0;-13.0;0;;0;N;91;79.0;62.0;1;379;;;;;;;;;
364258;2018-11-21;AS;AS;AS;729;AS;N247AK;729;13198;MCI;Kansas City, MO;14747;SEA;Seattle, WA;1625;1644.0;19.0;10.0;1654.0;1826.0;9.0;1830;1835.0;5.0;0;;0;N;245;231.0;212.0;1;1489;;;;;;;;;
466649;2019-02-19;AS;AS;AS;90;AS;N529AS;90;14771;SFO;San Francisco, CA;13204;MCO;Orlando, FL;730;720.0;-10.0;16.0;736.0;1527.0;10.0;1545;1537.0;-8.0;0;;0;N;315;317.0;291.0;1;2446;;;;;;;;;
793707;2019-11-12;AS;AS_CODESHARE;AS;3473;OO;N170SY;3473;14057;PDX;Portland, OR;10713;BOI;Boise, ID;1925;1912.0;-13.0;22.0;1934.0;2125.0;5.0;2137;2130.0;-7.0;0;;0;N;72;78.0;51.0;1;344;;;;;;;;;
415705;2019-01-05;AS;AS;AS;359;AS;N282AK;359;12478;JFK;New York, NY;14747;SEA;Seattle, WA;1840;1839.0;-1.0;34.0;1913.0;2235.0;4.0;2212;2239.0;27.0;0;;0;N;392;420.0;382.0;1;2422;0.0;0.0;27.0;0.0;0.0;;;;
668926;2019-08-03;AS;AS_CODESHARE;AS;2051;QX;N649QX;2051;14747;SEA;Seattle, WA;14893;SMF;Sacramento, CA;2120;2125.0;5.0;19.0;2144.0;2313.0;6.0;2320;2319.0;-1.0;0;;0;N;120;114.0;89.0;1;605;;;;;;;;;
775393;2019-10-27;AS;AS;AS;575;AS;N306AS;575;14262;PSP;Palm Springs, CA;14747;SEA;Seattle, WA;1720;1712.0;-8.0;14.0;1726.0;2024.0;9.0;2010;2033.0;23.0;0;;0;N;170;201.0;178.0;1;987;0.0;0.0;23.0;0.0;0.0;;;;
153680;2018-05-30;AS;AS;AS;1935;AS;N848VA;1935;12892;LAX;Los Angeles, CA;14771;SFO;San Francisco, CA;1835;1827.0;-8.0;35.0;1902.0;1954.0;4.0;1950;1958.0;8.0;0;;0;N;75;91.0;52.0;1;337;;;;;;;;;
574768;2019-05-21;AS;AS;AS;496;AS;N590AS;496;14747;SEA;Seattle, WA;10713;BOI;Boise, ID;2130;2128.0;-2.0;22.0;2150.0;2359.0;4.0;5;3.0;-2.0;0;;0;N;95;95.0;69.0;1;399;;;;;;;;;
751553;2019-10-08;AS;AS;AS;1570;AS;N848VA;1570;14747;SEA;Seattle, WA;10800;BUR;Burbank, CA;1140;1138.0;-2.0;24.0;1202.0;1401.0;3.0;1415;1404.0;-11.0;0;;0;N;155;146.0;119.0;1;937;;;;;;;;;
510034;2019-03-28;AS;AS;AS;64;AS;N619AS;64;10299;ANC;Anchorage, AK;12523;JNU;Juneau, AK;1135;1130.0;-5.0;10.0;1140.0;1301.0;5.0;1310;1306.0;-4.0;0;;0;N;95;96.0;81.0;1;571;;;;;;;;;
559458;2019-05-09;AS;AS;AS;338;AS;N292AK;338;14057;PDX;Portland, OR;14679;SAN;San Diego, CA;1840;1837.0;-3.0;12.0;1849.0;2049.0;4.0;2105;2053.0;-12.0;0;;0;N;145;136.0;120.0;1;933;;;;;;;;;
703263;2019-08-29;AS;AS;AS;610;AS;N266AK;610;14747;SEA;Seattle, WA;14893;SMF;Sacramento, CA;935;951.0;16.0;36.0;1027.0;1149.0;4.0;1135;1153.0;18.0;0;;0;N;120;122.0;82.0;1;605;0.0;0.0;2.0;0.0;16.0;;;;
818899;2019-12-03;AS;AS;AS;1233;AS;N853VA;1233;14908;SNA;Santa Ana, CA;14747;SEA;Seattle, WA;1850;1907.0;17.0;16.0;1923.0;2137.0;11.0;2145;2148.0;3.0;0;;0;N;175;161.0;134.0;1;978;;;;;;;;;
