;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
2019409;2019-06-28;WN;WN;WN;37;WN;N415WN;37;11259;DAL;Dallas, TX;12191;HOU;Houston, TX;1530;1538.0;8.0;9.0;1547.0;1629.0;6.0;1645;1635.0;-10.0;0;;0;N;75;57.0;42.0;1;239;;;;;;;;;
1233293;2018-11-30;WN;WN;WN;1775;WN;N922WN;1775;10397;ATL;Atlanta, GA;12191;HOU;Houston, TX;605;604.0;-1.0;16.0;620.0;714.0;5.0;720;719.0;-1.0;0;;0;N;135;135.0;114.0;1;696;;;;;;;;;
2043818;2019-07-05;WN;WN;WN;3603;WN;N965WN;3603;13232;MDW;Chicago, IL;13871;OMA;Omaha, NE;2230;2235.0;5.0;8.0;2243.0;2345.0;3.0;2355;2348.0;-7.0;0;;0;N;85;73.0;62.0;1;423;;;;;;;;;
1040418;2018-10-09;WN;WN;WN;2200;WN;N456WN;2200;15304;TPA;Tampa, FL;12191;HOU;Houston, TX;1955;2116.0;81.0;5.0;2121.0;2209.0;4.0;2110;2213.0;63.0;0;;0;N;135;117.0;108.0;1;781;0.0;0.0;42.0;0.0;21.0;;;;
1813602;2019-05-05;WN;WN;WN;2411;WN;N8656B;2411;12339;IND;Indianapolis, IN;12191;HOU;Houston, TX;1910;1929.0;19.0;11.0;1940.0;2042.0;7.0;2040;2049.0;9.0;0;;0;N;150;140.0;122.0;1;861;;;;;;;;;
1685354;2019-04-02;WN;WN;WN;1492;WN;N927WN;1492;13232;MDW;Chicago, IL;11066;CMH;Columbus, OH;2225;2232.0;7.0;10.0;2242.0;23.0;4.0;35;27.0;-8.0;0;;0;N;70;55.0;41.0;1;283;;;;;;;;;
1262965;2018-12-08;WN;WN;WN;1425;WN;N7826B;1425;13487;MSP;Minneapolis, MN;11292;DEN;Denver, CO;1530;1524.0;-6.0;25.0;1549.0;1625.0;5.0;1640;1630.0;-10.0;0;;0;N;130;126.0;96.0;1;680;;;;;;;;;
2304281;2019-09-11;WN;WN;WN;1098;WN;N968WN;1098;12892;LAX;Los Angeles, CA;14831;SJC;San Jose, CA;1455;1451.0;-4.0;8.0;1459.0;1547.0;3.0;1610;1550.0;-20.0;0;;0;N;75;59.0;48.0;1;308;;;;;;;;;
1041067;2018-10-09;WN;WN;WN;5947;WN;N7706A;5947;13198;MCI;Kansas City, MO;11292;DEN;Denver, CO;1735;1733.0;-2.0;15.0;1748.0;1810.0;4.0;1820;1814.0;-6.0;0;;0;N;105;101.0;82.0;1;533;;;;;;;;;
452264;2018-05-05;WN;WN;WN;3399;WN;N8679A;3399;13204;MCO;Orlando, FL;10423;AUS;Austin, TX;1805;1802.0;-3.0;14.0;1816.0;1940.0;4.0;1950;1944.0;-6.0;0;;0;N;165;162.0;144.0;1;994;;;;;;;;;
839283;2018-08-14;WN;WN;WN;2205;WN;N8650F;2205;14570;RNO;Reno, NV;14107;PHX;Phoenix, AZ;745;742.0;-3.0;7.0;749.0;912.0;5.0;930;917.0;-13.0;0;;0;N;105;95.0;83.0;1;601;;;;;;;;;
1662407;2019-03-27;WN;WN;WN;2275;WN;N793SA;2275;12339;IND;Indianapolis, IN;11697;FLL;Fort Lauderdale, FL;710;709.0;-1.0;9.0;718.0;932.0;17.0;950;949.0;-1.0;0;;0;N;160;160.0;134.0;1;1005;;;;;;;;;
2417991;2019-10-12;WN;WN;WN;1361;WN;N400WN;1361;13232;MDW;Chicago, IL;14683;SAT;San Antonio, TX;1700;1730.0;30.0;9.0;1739.0;2011.0;3.0;1945;2014.0;29.0;0;;0;N;165;164.0;152.0;1;1036;29.0;0.0;0.0;0.0;0.0;;;;
983592;2018-09-23;WN;WN;WN;6714;WN;N230WN;6714;13198;MCI;Kansas City, MO;11292;DEN;Denver, CO;1300;1307.0;7.0;9.0;1316.0;1336.0;5.0;1345;1341.0;-4.0;0;;0;N;105;94.0;80.0;1;533;;;;;;;;;
2648447;2019-12-14;WN;WN;WN;4221;WN;N453WN;4221;12889;LAS;Las Vegas, NV;14570;RNO;Reno, NV;1155;1158.0;3.0;15.0;1213.0;1313.0;2.0;1315;1315.0;0.0;0;;0;N;80;77.0;60.0;1;345;;;;;;;;;
563896;2018-06-04;WN;WN;WN;5406;WN;N7836A;5406;13204;MCO;Orlando, FL;10397;ATL;Atlanta, GA;1535;1603.0;28.0;17.0;1620.0;1726.0;4.0;1705;1730.0;25.0;0;;0;N;90;87.0;66.0;1;404;0.0;0.0;0.0;0.0;25.0;;;;
939226;2018-09-11;WN;WN;WN;4932;WN;N8659D;4932;13232;MDW;Chicago, IL;10140;ABQ;Albuquerque, NM;1915;1914.0;-1.0;9.0;1923.0;2047.0;5.0;2115;2052.0;-23.0;0;;0;N;180;158.0;144.0;1;1121;;;;;;;;;
1713618;2019-04-09;WN;WN;WN;4326;WN;N7717D;4326;11259;DAL;Dallas, TX;10423;AUS;Austin, TX;600;555.0;-5.0;10.0;605.0;639.0;4.0;700;643.0;-17.0;0;;0;N;60;48.0;34.0;1;189;;;;;;;;;
2453227;2019-10-22;WN;WN;WN;2103;WN;N237WN;2103;14683;SAT;San Antonio, TX;11259;DAL;Dallas, TX;835;831.0;-4.0;8.0;839.0;925.0;3.0;945;928.0;-17.0;0;;0;N;70;57.0;46.0;1;247;;;;;;;;;
646785;2018-06-25;WN;WN;WN;2418;WN;N475WN;2418;13232;MDW;Chicago, IL;13487;MSP;Minneapolis, MN;710;717.0;7.0;9.0;726.0;828.0;2.0;835;830.0;-5.0;0;;0;N;85;73.0;62.0;1;349;;;;;;;;;
672405;2018-07-02;WN;WN;WN;1992;WN;N785SW;1992;15304;TPA;Tampa, FL;11697;FLL;Fort Lauderdale, FL;1250;1248.0;-2.0;10.0;1258.0;1343.0;3.0;1350;1346.0;-4.0;0;;0;N;60;58.0;45.0;1;197;;;;;;;;;
539807;2018-05-29;WN;WN;WN;5815;WN;N913WN;5815;14831;SJC;San Jose, CA;10800;BUR;Burbank, CA;835;839.0;4.0;10.0;849.0;936.0;2.0;935;938.0;3.0;0;;0;N;60;59.0;47.0;1;296;;;;;;;;;
1174519;2018-11-14;WN;WN;WN;1173;WN;N751SW;1173;11259;DAL;Dallas, TX;10397;ATL;Atlanta, GA;1810;1813.0;3.0;10.0;1823.0;2100.0;11.0;2100;2111.0;11.0;0;;0;N;110;118.0;97.0;1;721;;;;;;;;;
2638088;2019-12-11;WN;WN;WN;154;WN;N8658A;154;15370;TUL;Tulsa, OK;12889;LAS;Las Vegas, NV;1540;1537.0;-3.0;15.0;1552.0;1629.0;3.0;1640;1632.0;-8.0;0;;0;N;180;175.0;157.0;1;1076;;;;;;;;;
1479854;2019-02-06;WN;WN;WN;398;WN;N7750A;398;13198;MCI;Kansas City, MO;13232;MDW;Chicago, IL;1345;1413.0;28.0;21.0;1434.0;1529.0;4.0;1505;1533.0;28.0;0;;0;N;80;80.0;55.0;1;405;28.0;0.0;0.0;0.0;0.0;;;;
1650097;2019-03-24;WN;WN;WN;5016;WN;N7879A;5016;14747;SEA;Seattle, WA;14679;SAN;San Diego, CA;1810;1809.0;-1.0;12.0;1821.0;2042.0;2.0;2055;2044.0;-11.0;0;;0;N;165;155.0;141.0;1;1050;;;;;;;;;
701652;2018-07-10;WN;WN;WN;700;WN;N246LV;700;11618;EWR;Newark, NJ;11697;FLL;Fort Lauderdale, FL;600;559.0;-1.0;29.0;628.0;851.0;2.0;855;853.0;-2.0;0;;0;N;175;174.0;143.0;1;1065;;;;;;;;;
2522653;2019-11-09;WN;WN;WN;3452;WN;N8622A;3452;10397;ATL;Atlanta, GA;13796;OAK;Oakland, CA;1725;1809.0;44.0;14.0;1823.0;1954.0;5.0;1945;1959.0;14.0;0;;0;N;320;290.0;271.0;1;2130;;;;;;;;;
2404216;2019-10-09;WN;WN;WN;1645;WN;N932WN;1645;11292;DEN;Denver, CO;13891;ONT;Ontario, CA;2145;2215.0;30.0;41.0;2256.0;2356.0;4.0;2305;2400.0;55.0;0;;0;N;140;165.0;120.0;1;819;16.0;0.0;25.0;0.0;14.0;;;;
1709232;2019-04-08;WN;WN;WN;2181;WN;N567WN;2181;12953;LGA;New York, NY;13232;MDW;Chicago, IL;1200;1159.0;-1.0;32.0;1231.0;1325.0;4.0;1330;1329.0;-1.0;0;;0;N;150;150.0;114.0;1;725;;;;;;;;;
1061781;2018-10-15;WN;WN;WN;732;WN;N723SW;732;10423;AUS;Austin, TX;11540;ELP;El Paso, TX;925;925.0;0.0;14.0;939.0;956.0;5.0;955;1001.0;6.0;0;;0;N;90;96.0;77.0;1;528;;;;;;;;;
29791;2018-01-09;WN;WN;WN;343;WN;N476WN;343;11066;CMH;Columbus, OH;11292;DEN;Denver, CO;550;549.0;-1.0;15.0;604.0;656.0;6.0;720;702.0;-18.0;0;;0;N;210;193.0;172.0;1;1154;;;;;;;;;
