Scheduled Departure (Hour);Scheduled Arrival (Hour);Airline;Departing Airport;Arriving Airport;Hourly Arrival Delay(Median)
0;1;AA;CLT;CAE;-19.0
0;1;AA;CLT;GSO;-16.0
0;1;AA;CLT;RDU;-8.0
0;1;AA;DFW;BHM;26.0
0;1;AA;DFW;DEN;48.0
0;1;AA;DFW;ELP;-5.0
0;1;AA;DFW;SAT;7.0
0;3;AS;SEA;ANC;4.0
0;3;UA;ORD;CHO;16.0
0;3;UA;ORD;MDT;11.0
0;4;AS;ANC;SEA;-21.5
0;4;AS;ORD;ANC;-31.0
0;4;DL;SLC;MSP;-28.0
0;4;F9;LAX;DEN;-12.0
0;4;F9;PDX;DEN;76.0
0;4;F9;SEA;DEN;-26.0
0;4;F9;SFO;DEN;-9.0
0;4;UA;IAH;IAD;-13.0
0;5;AA;FAT;DFW;-8.0
0;5;AA;LAS;ORD;-5.5
0;5;AA;LAX;DFW;21.0
0;5;AA;ONT;DFW;-18.0
0;5;AA;PDX;DFW;-18.0
0;5;AA;PHX;ORD;-7.5
0;5;AA;SEA;DFW;-14.5
0;5;AA;SFO;DFW;-4.5
0;5;AA;SMF;DFW;-8.5
0;5;AS;ANC;PDX;-20.0
0;5;AS;ANC;SEA;-11.5
0;5;AS;FAI;SEA;-36.0
0;5;B6;ANC;SEA;-44.0
0;5;DL;ANC;SEA;-15.0
0;5;DL;DEN;ATL;-7.0
0;5;DL;LAS;MSP;-21.0
0;5;DL;SEA;MSP;-6.0
0;5;DL;SFO;MSP;-23.0
0;5;F9;DEN;ATL;11.0
0;5;F9;DEN;MCO;-31.0
0;5;F9;DEN;PHL;-36.0
0;5;F9;DEN;TPA;-15.0
0;5;F9;LAS;STL;0.0
0;5;F9;PHX;ORD;-5.0
0;5;NK;LAS;AUS;-3.0
0;5;NK;LAS;IAH;-8.5
0;5;NK;LAS;MSP;82.0
0;5;NK;LAS;ORD;-23.0
0;5;NK;MSP;FLL;-19.0
0;5;NK;PHX;DFW;-12.0
0;5;UA;LAX;IAH;2.0
0;6;AA;FAT;DFW;-16.0
0;6;AA;PDX;ORD;0.0
0;6;AA;PHX;PHL;-23.0
0;6;AA;RNO;DFW;-16.0
0;6;AA;SEA;DFW;19.0
0;6;AA;SFO;DFW;-5.5
0;6;AA;SFO;ORD;-2.0
0;6;AA;SLC;CLT;26.5
0;6;AA;SLC;PHL;-17.0
0;6;AS;PDX;ORD;-3.0
0;6;AS;SEA;ORD;-9.0
0;6;DL;LAX;MSP;-5.0
0;6;DL;PDX;MSP;-1.0
0;6;DL;PHX;ATL;-5.5
0;6;DL;SEA;MSP;-6.0
0;6;DL;SLC;ATL;0.0
0;6;DL;SLC;DTW;-36.0
0;6;F9;ABQ;MCO;-4.5
0;6;F9;COS;MCO;13.0
0;6;F9;DEN;IAD;85.0
0;6;F9;DEN;MCO;-24.0
0;6;F9;DEN;PHL;-27.0
0;6;F9;DEN;RDU;5.0
0;6;F9;DEN;RSW;-8.0
0;6;F9;DEN;TPA;10.0
0;6;F9;LAS;ATL;-7.5
0;6;F9;LAS;ORD;11.5
0;6;NK;LAS;ORD;-22.0
0;6;UA;DEN;LGA;-12.0
0;6;UA;FAI;SFO;87.0
0;6;UA;LAX;ORD;-7.0
0;6;UA;PDX;IAH;-11.5
0;6;UA;PDX;ORD;35.0
0;6;UA;SEA;IAH;-6.5
0;6;UA;SEA;ORD;-22.0
0;6;UA;SFO;IAH;5.0
0;6;UA;SFO;ORD;-6.0
0;6;UA;SMF;IAH;1.5
0;7;AA;ANC;PHX;-14.0
0;7;AA;LAS;CLT;-2.0
0;7;AA;LAX;ORD;-14.0
0;7;AA;PHX;MIA;-12.0
0;7;AA;PHX;PHL;-5.0
0;7;AS;SEA;ORD;-12.0
0;7;F9;LAS;ATL;36.5
0;7;F9;LAS;MCO;-26.0
0;7;F9;ONT;MCO;-43.0
0;7;NK;SEA;IAH;727.0
0;7;UA;SFO;ORD;34.0
0;8;AA;LAS;CLT;5.0
0;8;AA;LAX;CLT;9.0
0;8;AA;LAX;MIA;-16.5
0;8;AA;SFO;CLT;-12.0
0;8;B6;LAX;JFK;8.0
0;8;F9;ONT;MCO;-35.0
0;8;UA;LAX;EWR;-8.0
0;8;UA;SFO;PHL;85.0
0;9;AA;LAX;JFK;-10.5
0;9;AA;SFO;PHL;33.0
0;9;B6;LAX;JFK;1.0
0;9;UA;LAX;EWR;-4.0
0;9;UA;SFO;EWR;29.0
1;4;B6;BQN;FLL;-13.0
1;4;B6;PSE;MCO;-12.0
1;4;B6;SJU;MCO;-6.0
1;4;F9;LAS;DEN;-16.5
1;4;UA;BQN;EWR;-8.5
1;5;AA;LAS;DFW;-19.0
1;5;AS;ANC;SEA;-12.5
