Scheduled Departure (Hour);Scheduled Arrival (Hour);Departing Airport;Arriving Airport;Hourly Taxi_Out Duration (Median);Hourly Taxi_In Duration (Median)
0;1;CLT;CAE;16.0;5.0
0;1;CLT;GSO;13.0;3.0
0;1;CLT;RDU;13.0;3.0
0;1;DFW;BHM;20.0;3.0
0;1;DFW;DEN;15.0;10.0
0;1;DFW;ELP;13.0;4.0
0;1;DFW;SAT;21.0;5.0
0;3;ORD;CHO;29.0;3.0
0;3;ORD;MDT;16.0;2.0
0;3;SEA;ANC;21.0;3.0
0;4;ANC;SEA;11.5;5.0
0;4;IAH;IAD;21.0;3.0
0;4;LAX;DEN;13.5;11.0
0;4;ORD;ANC;15.0;4.0
0;4;PDX;DEN;15.0;14.0
0;4;SEA;DEN;15.0;9.0
0;4;SFO;DEN;13.5;8.5
0;4;SLC;MSP;10.0;3.0
0;5;ANC;PDX;11.0;5.0
0;5;ANC;SEA;15.5;4.5
0;5;DEN;ATL;12.0;8.5
0;5;DEN;MCO;14.0;7.0
0;5;DEN;PHL;10.0;8.0
0;5;DEN;TPA;13.5;6.0
0;5;FAI;SEA;11.0;4.0
0;5;FAT;DFW;9.0;3.0
0;5;LAS;AUS;12.0;9.0
0;5;LAS;IAH;13.5;9.0
0;5;LAS;MSP;15.5;4.0
0;5;LAS;ORD;12.0;7.0
0;5;LAS;STL;11.0;6.5
0;5;LAX;DFW;14.0;11.0
0;5;LAX;IAH;17.0;6.0
0;5;MSP;FLL;10.0;5.0
0;5;ONT;DFW;13.0;5.0
0;5;PDX;DFW;19.0;5.0
0;5;PHX;DFW;9.0;6.0
0;5;PHX;ORD;12.5;11.0
0;5;SEA;DFW;14.0;4.0
0;5;SEA;MSP;12.0;4.0
0;5;SFO;DFW;15.5;6.0
0;5;SFO;MSP;15.0;9.0
0;5;SMF;DFW;12.5;5.0
0;6;ABQ;MCO;13.5;25.0
0;6;COS;MCO;30.0;15.0
0;6;DEN;IAD;13.0;10.0
0;6;DEN;LGA;14.0;9.0
0;6;DEN;MCO;13.0;7.0
0;6;DEN;PHL;12.5;9.5
