Month;Airline;Departing Airport;Arriving Airport;Monthly Arrival Delay(Mode)
1;AA;ABE;CLT;-13.0
1;AA;ABI;DFW;-0.5
1;AA;ABQ;DFW;-7.5
1;AA;ABQ;LAX;3.0
1;AA;ABQ;ORD;-19.0
1;AA;AGS;CLT;-10.8
1;AA;ALB;CLT;-11.0
1;AA;ALB;DCA;-6.0
1;AA;ALB;PHL;-2.0
1;AA;ALO;ORD;0.0
1;AA;AMA;DFW;31.75
1;AA;ART;PHL;42.0
1;AA;ASE;DFW;-31.0
1;AA;ASE;ORD;15.0
1;AA;ASE;PHX;49.0
1;AA;ATL;CLT;-7.25
1;AA;ATL;DCA;8.5
1;AA;ATL;DFW;-23.5
1;AA;ATL;LGA;-9.0
1;AA;ATL;MIA;-13.0
1;AA;ATL;PHL;-14.0
1;AA;ATW;ORD;8.4
1;AA;AUS;CLT;-7.5
1;AA;AUS;DFW;33.333333333333336
1;AA;AUS;LAX;-9.0
1;AA;AUS;MIA;-5.0
1;AA;AVL;CLT;47.0
1;AA;AVP;CLT;8.0
1;AA;AVP;PHL;-17.0
1;AA;BDL;CLT;-9.0
1;AA;BDL;DCA;-29.0
1;AA;BDL;DFW;-19.0
1;AA;BDL;MIA;-8.0
1;AA;BDL;ORD;-10.0
1;AA;BDL;PHL;-25.0
1;AA;BGR;PHL;74.0
1;AA;BHM;CLT;-11.5
1;AA;BHM;DCA;-17.0
1;AA;BHM;DFW;1.0
1;AA;BHM;MIA;-16.0
1;AA;BNA;CLT;-16.0
1;AA;BNA;DCA;169.33333333333334
1;AA;BNA;DFW;-5.5
1;AA;BNA;LGA;-29.0
1;AA;BNA;ORD;4.25
1;AA;BNA;PHL;-26.0
1;AA;BOI;PHX;7.0
1;AA;BOS;CLT;10.0
1;AA;BOS;DCA;-18.0
1;AA;BOS;DFW;-1.5
1;AA;BOS;JFK;-17.0
1;AA;BOS;LAX;3.0
1;AA;BOS;LGA;-14.0
1;AA;BOS;MIA;-9.0
1;AA;BOS;ORD;5.0
1;AA;BOS;PHL;57.4
1;AA;BOS;PIT;-28.0
1;AA;BOS;ROC;-14.0
1;AA;BPT;DFW;-14.0
1;AA;BRO;DFW;-7.0
1;AA;BTR;CLT;0.25
1;AA;BTR;DFW;-4.833333333333333
1;AA;BTV;CLT;2.0
1;AA;BTV;DCA;-12.333333333333334
1;AA;BTV;PHL;-18.5
1;AA;BUF;CLT;-11.5
1;AA;BUF;ORD;-15.0
1;AA;BUF;PHL;-16.0
1;AA;BWI;CLT;-12.5
1;AA;BWI;DFW;-10.0
1;AA;BWI;ORD;-5.0
1;AA;BWI;PHL;-16.5
1;AA;BZN;DFW;100.0
1;AA;CAE;CLT;2.0
1;AA;CAE;DCA;40.0
1;AA;CAK;CLT;42.333333333333336
1;AA;CHA;CLT;-19.0
1;AA;CHO;CLT;4.666666666666667
1;AA;CHO;ORD;0.0
1;AA;CHS;CLT;-0.5
1;AA;CHS;DCA;-12.0
1;AA;CHS;DFW;-11.75
1;AA;CHS;MIA;-15.5
1;AA;CID;CLT;-15.0
1;AA;CID;DFW;1.0
1;AA;CID;ORD;-18.0
1;AA;CLE;DCA;-20.0
1;AA;CLE;JFK;-25.0
1;AA;CLE;ORD;2.0
1;AA;CLE;PHL;-14.0
1;AA;CLL;DFW;88.0
1;AA;CLT;AGS;-13.0
1;AA;CLT;ATL;41.666666666666664
1;AA;CLT;AUS;-4.25
1;AA;CLT;AVL;-19.0
1;AA;CLT;AVP;-13.0
1;AA;CLT;BDL;-10.0
1;AA;CLT;BHM;0.0
1;AA;CLT;BNA;-8.5
1;AA;CLT;BOS;5.0
1;AA;CLT;BTV;288.0
1;AA;CLT;BWI;2.0
1;AA;CLT;CAE;-10.0
1;AA;CLT;CAK;-24.0
1;AA;CLT;CHA;-15.5
1;AA;CLT;CHO;42.4
1;AA;CLT;CHS;0.5
1;AA;CLT;CID;-8.0
1;AA;CLT;CLE;-7.0
1;AA;CLT;CMH;-3.6666666666666665
1;AA;CLT;CRW;-6.0
1;AA;CLT;DAB;5.0
1;AA;CLT;DAY;-8.0
1;AA;CLT;DCA;2.0
1;AA;CLT;DFW;-1.0
1;AA;CLT;DSM;-10.0
1;AA;CLT;DTW;-5.75
1;AA;CLT;EWN;-10.0
1;AA;CLT;EWR;22.333333333333332
1;AA;CLT;EYW;-7.5
1;AA;CLT;FAY;0.2
1;AA;CLT;FLO;-14.5
1;AA;CLT;GNV;10.0
1;AA;CLT;GRR;-8.0
1;AA;CLT;GSO;7.5
1;AA;CLT;GSP;31.666666666666668
1;AA;CLT;HHH;20.0
1;AA;CLT;HPN;-4.5
1;AA;CLT;HSV;-10.0
1;AA;CLT;HTS;-18.0
1;AA;CLT;IAD;4.5
1;AA;CLT;IAH;11.571428571428571
1;AA;CLT;ILM;-7.0
1;AA;CLT;IND;-6.0
1;AA;CLT;JAN;-16.0
1;AA;CLT;JAX;7.0
1;AA;CLT;JFK;7.0
1;AA;CLT;LAS;-20.0
1;AA;CLT;LAX;1.0
1;AA;CLT;LEX;-10.0
1;AA;CLT;LGA;-18.0
1;AA;CLT;LIT;3.0
1;AA;CLT;LYH;-7.0
1;AA;CLT;MCO;11.0
1;AA;CLT;MDT;-3.5
1;AA;CLT;MEM;-7.0
1;AA;CLT;MHT;12.5
1;AA;CLT;MIA;54.75
1;AA;CLT;MKE;11.0
1;AA;CLT;MOB;-35.0
1;AA;CLT;MSN;21.0
1;AA;CLT;MSP;-4.0
1;AA;CLT;MSY;-6.0
1;AA;CLT;MYR;10.0
1;AA;CLT;OAJ;-7.0
1;AA;CLT;OKC;-17.0
1;AA;CLT;OMA;-3.5
1;AA;CLT;ORD;-4.5
1;AA;CLT;ORF;1.75
1;AA;CLT;PBI;25.0
1;AA;CLT;PDX;6.5
1;AA;CLT;PGV;-22.0
1;AA;CLT;PHF;-8.2
1;AA;CLT;PHL;13.6
1;AA;CLT;PHX;-11.666666666666666
1;AA;CLT;PIT;0.0
1;AA;CLT;PNS;-8.0
1;AA;CLT;PVD;-24.0
1;AA;CLT;RDU;-5.75
1;AA;CLT;RIC;6.0
1;AA;CLT;ROA;4.333333333333333
1;AA;CLT;ROC;9.5
1;AA;CLT;RSW;129.0
1;AA;CLT;SAN;-18.0
1;AA;CLT;SAT;-3.0
1;AA;CLT;SAV;4.0
1;AA;CLT;SBY;-20.0
1;AA;CLT;SDF;-9.0
1;AA;CLT;SFO;4.5
1;AA;CLT;SGF;50.0
1;AA;CLT;SRQ;9.0
1;AA;CLT;SYR;-8.0
1;AA;CLT;TOL;-5.0
1;AA;CLT;TPA;84.5
1;AA;CLT;TRI;-15.5
1;AA;CLT;TUL;13.0
1;AA;CLT;TYS;-20.0
1;AA;CLT;VPS;-5.5
1;AA;CLT;XNA;-16.333333333333332
1;AA;CMH;CLT;4.5
1;AA;CMH;DCA;-9.4
1;AA;CMH;DFW;42.0
1;AA;CMH;LAX;-21.0
1;AA;CMH;ORD;61.5
1;AA;CMH;PHL;5.0
1;AA;CMH;PHX;10.0
1;AA;CMI;DFW;27.0
1;AA;CMI;ORD;12.5
1;AA;COS;DFW;-17.5
1;AA;COU;ORD;-19.0
1;AA;CRP;DFW;-11.0
1;AA;CRW;CLT;0.6666666666666666
1;AA;CVG;CLT;-2.0
1;AA;CVG;DCA;-1.0
1;AA;CVG;DFW;36.0
1;AA;CVG;ORD;118.0
1;AA;CVG;PHL;-3.0
1;AA;DAB;CLT;7.0
1;AA;DAY;DCA;20.5
