Airport;Hour;Flights
ABQ;0;7
ABQ;7;28
ABQ;8;33
ABQ;9;36
ABQ;10;35
ABQ;11;53
ABQ;12;45
ABQ;13;60
ABQ;14;35
ABQ;15;37
ABQ;16;34
ABQ;17;38
ABQ;18;35
ABQ;19;28
ABQ;20;30
ABQ;21;23
ABQ;23;43
ANC;0;26
ANC;1;13
ANC;2;9
ANC;4;10
ANC;5;8
ANC;6;37
ANC;8;13
ANC;9;28
ANC;10;21
ANC;11;18
ANC;12;7
ANC;13;19
ANC;14;37
ANC;15;49
ANC;16;21
ANC;17;24
ANC;18;18
ANC;19;25
ANC;20;43
ANC;21;26
ANC;22;22
ANC;23;35
CLT;0;21
CLT;5;16
CLT;6;284
CLT;7;306
CLT;8;412
CLT;9;390
CLT;10;407
CLT;11;373
CLT;12;334
CLT;13;451
CLT;14;394
CLT;15;412
CLT;16;429
CLT;17;383
CLT;18;366
CLT;19;388
CLT;20;386
CLT;21;322
CLT;22;325
DEN;0;56
DEN;1;17
DEN;6;216
DEN;7;431
DEN;8;450
DEN;9;465
DEN;10;537
DEN;11;471
DEN;12;399
DEN;13;381
DEN;14;391
DEN;15;354
DEN;16;383
DEN;17;494
DEN;18;421
DEN;19;558
DEN;20;327
DEN;21;234
DEN;22;227
DEN;23;116
DFW;0;26
DFW;5;71
DFW;6;220
DFW;7;464
DFW;8;363
DFW;9;600
DFW;10;449
DFW;11;482
DFW;12;473
DFW;13;441
DFW;14;421
DFW;15;443
DFW;16;405
DFW;17;528
DFW;18;511
DFW;19;451
DFW;20;441
DFW;21;308
DFW;22;273
DFW;23;78
FAI;0;9
FAI;6;4
FAI;7;3
FAI;8;5
FAI;11;4
FAI;12;8
FAI;13;6
FAI;14;9
FAI;15;5
FAI;16;8
FAI;18;7
FAI;21;5
FAI;22;5
FAI;23;7
FAT;0;6
FAT;8;13
FAT;9;24
FAT;10;11
FAT;11;22
FAT;12;40
FAT;13;9
FAT;14;5
FAT;15;23
FAT;16;34
FAT;17;14
FAT;18;15
FAT;19;8
FAT;20;25
FAT;23;8
IAH;0;24
IAH;5;49
IAH;6;133
IAH;7;198
IAH;8;373
IAH;9;209
IAH;10;313
IAH;11;226
IAH;12;231
IAH;13;259
IAH;14;322
IAH;15;218
IAH;16;257
IAH;17;234
IAH;18;452
IAH;19;238
IAH;20;359
IAH;21;186
IAH;22;56
IAH;23;65
LAS;0;54
LAS;1;20
LAS;6;172
LAS;7;194
LAS;8;281
LAS;9;230
LAS;10;263
LAS;11;254
LAS;12;261
LAS;13;266
LAS;14;242
LAS;15;214
LAS;16;203
LAS;17;226
LAS;18;225
LAS;19;198
LAS;20;190
LAS;21;236
LAS;22;210
LAS;23;175
LAX;0;76
LAX;1;11
LAX;5;78
LAX;6;162
LAX;7;374
LAX;8;544
LAX;9;402
LAX;10;389
LAX;11;371
LAX;12;309
LAX;13;279
LAX;14;342
LAX;15;361
LAX;16;317
LAX;17;320
LAX;18;314
LAX;19;346
LAX;20;295
LAX;21;397
LAX;22;263
LAX;23;213
MSP;0;16
MSP;5;37
MSP;6;154
MSP;7;178
MSP;8;300
MSP;9;281
MSP;10;262
MSP;11;258
MSP;12;263
MSP;13;295
MSP;14;243
MSP;15;212
MSP;16;228
MSP;17;292
MSP;18;242
MSP;19;302
MSP;20;256
MSP;21;135
MSP;22;107
ONT;0;5
ONT;6;32
ONT;7;25
ONT;8;30
ONT;9;49
ONT;10;43
ONT;11;27
ONT;12;21
ONT;13;25
ONT;14;20
ONT;15;35
ONT;16;31
ONT;17;27
ONT;18;27
ONT;19;29
ONT;20;26
ONT;21;13
ONT;22;21
ONT;23;26
ORD;0;48
ORD;5;99
ORD;6;415
ORD;7;654
ORD;8;731
ORD;9;561
ORD;10;629
ORD;11;563
ORD;12;683
ORD;13;518
ORD;14;762
ORD;15;502
ORD;16;537
ORD;17;587
ORD;18;747
ORD;19;638
ORD;20;552
ORD;21;412
ORD;22;165
PDX;0;35
PDX;5;52
PDX;6;135
PDX;7;86
PDX;8;119
PDX;9;122
PDX;10;127
PDX;11;128
PDX;12;130
PDX;13;133
PDX;14;118
PDX;15;121
PDX;16;118
PDX;17;111
PDX;18;108
PDX;19;108
PDX;20;120
PDX;21;111
PDX;22;94
PDX;23;59
PHX;0;27
PHX;1;15
PHX;5;49
PHX;6;137
PHX;7;253
PHX;8;262
PHX;9;335
PHX;10;293
PHX;11;257
PHX;12;271
PHX;13;236
PHX;14;264
PHX;15;240
PHX;16;215
PHX;17;235
PHX;18;238
PHX;19;290
PHX;20;274
PHX;21;218
PHX;22;133
PHX;23;93
RNO;0;14
RNO;8;17
RNO;9;34
RNO;10;53
RNO;11;38
RNO;12;47
RNO;13;40
RNO;14;30
RNO;15;25
RNO;16;39
RNO;17;37
RNO;18;32
RNO;19;33
RNO;20;24
RNO;21;24
RNO;23;28
SEA;0;65
SEA;1;10
SEA;5;91
SEA;6;215
SEA;7;229
SEA;8;284
SEA;9;262
SEA;10;343
SEA;11;280
SEA;12;287
SEA;13;255
SEA;14;241
SEA;15;237
SEA;16;235
SEA;17;245
SEA;18;217
SEA;19;207
SEA;20;290
SEA;21;270
SEA;22;229
SEA;23;130
SFO;0;72
SFO;5;51
SFO;6;148
SFO;7;256
SFO;8;306
SFO;9;329
SFO;10;269
SFO;11;285
SFO;12;251
SFO;13;258
SFO;14;218
SFO;15;223
SFO;16;247
SFO;17;223
SFO;18;210
SFO;19;266
SFO;20;272
SFO;21;258
SFO;22;207
SFO;23;162
SLC;0;30
SLC;6;43
SLC;7;145
SLC;8;219
SLC;9;194
SLC;10;213
SLC;11;235
SLC;12;91
SLC;13;196
SLC;14;156
SLC;15;216
SLC;16;207
SLC;17;197
SLC;18;42
SLC;19;250
SLC;20;217
SLC;21;123
SLC;22;131
SLC;23;68
SMF;0;12
SMF;6;78
SMF;7;45
SMF;8;82
SMF;9;95
SMF;10;95
SMF;11;83
SMF;12;74
SMF;13;73
SMF;14;72
SMF;15;68
SMF;16;62
SMF;17;57
SMF;18;64
SMF;19;79
SMF;20;76
SMF;21;54
SMF;22;56
SMF;23;59
BQN;1;10
BQN;2;7
BQN;3;7
BQN;4;3
BQN;12;2
BQN;15;3
PSE;1;8
PSE;3;4
SJU;1;21
SJU;2;19
SJU;3;26
SJU;4;13
SJU;5;6
SJU;6;15
SJU;7;24
SJU;8;17
SJU;9;29
SJU;10;20
SJU;11;39
SJU;12;33
SJU;13;60
SJU;14;48
SJU;15;58
SJU;16;49
SJU;17;35
SJU;18;22
SJU;19;16
SJU;20;15
SJU;21;15
SJU;22;17
SJU;23;17
PBG;2;4
PBG;9;3
PBG;10;5
PBG;14;2
PBG;16;3
PBG;18;2
ATL;5;44
ATL;6;165
ATL;7;460
ATL;8;777
ATL;9;744
ATL;10;621
ATL;11;484
ATL;12;551
ATL;13;593
ATL;14;612
ATL;15;703
ATL;16;562
ATL;17;524
ATL;18;493
ATL;19;673
ATL;20;607
ATL;21;648
ATL;22;372
ATL;23;124
AUS;5;48
AUS;6;86
AUS;7;65
AUS;8;85
AUS;9;81
AUS;10;83
AUS;11;104
AUS;12;105
AUS;13;99
AUS;14;85
AUS;15;88
AUS;16;112
AUS;17;118
AUS;18;104
AUS;19;86
AUS;20;79
AUS;21;50
AUS;22;56
BDL;5;30
BDL;6;40
BDL;7;32
BDL;8;31
BDL;9;44
BDL;10;64
BDL;11;28
BDL;12;56
BDL;13;54
BDL;14;44
BDL;15;27
BDL;16;35
BDL;17;56
BDL;18;56
BDL;19;55
BDL;20;19
BDL;21;30
BDL;22;9
BNA;5;46
BNA;6;89
BNA;7;113
BNA;8;94
BNA;9;142
BNA;10;108
BNA;11;116
BNA;12;100
BNA;13;117
BNA;14;105
BNA;15;110
BNA;16;135
BNA;17;119
BNA;18;150
BNA;19;134
BNA;20;105
BNA;21;106
BNA;22;62
BOS;5;118
BOS;6;202
BOS;7;251
BOS;8;200
BOS;9;224
BOS;10;198
BOS;11;182
BOS;12;196
BOS;13;187
BOS;14;224
BOS;15;240
BOS;16;219
BOS;17;222
BOS;18;253
BOS;19;230
BOS;20;168
BOS;21;169
BOS;22;120
BOS;23;111
BWI;5;39
BWI;6;132
BWI;7;133
BWI;8;178
BWI;9;156
BWI;10;180
BWI;11;134
BWI;12;145
BWI;13;151
BWI;14;157
BWI;15;177
BWI;16;180
BWI;17;149
BWI;18;164
BWI;19;188
BWI;20;130
BWI;21;146
BWI;22;92
BWI;23;62
CLE;5;34
CLE;6;82
CLE;7;68
CLE;8;71
CLE;9;53
CLE;10;88
CLE;11;79
CLE;12;59
CLE;13;65
CLE;14;83
CLE;15;81
CLE;16;74
CLE;17;101
CLE;18;95
CLE;19;86
CLE;20;50
CLE;21;29
CLE;22;33
CMH;5;32
CMH;6;73
CMH;7;50
CMH;8;58
CMH;9;60
CMH;10;60
CMH;11;85
CMH;12;55
CMH;13;56
CMH;14;62
CMH;15;74
CMH;16;85
CMH;17;120
CMH;18;69
CMH;19;61
CMH;20;36
CMH;21;32
CMH;22;55
CVG;5;11
CVG;6;69
CVG;7;72
CVG;8;68
CVG;9;82
CVG;10;92
CVG;11;98
CVG;12;80
CVG;13;62
CVG;14;72
CVG;15;83
CVG;16;82
CVG;17;91
CVG;18;76
CVG;19;62
CVG;20;50
